Dataset number, Accuracy,
0, 78.96825396825396,
1, 76.98412698412699,
2, 79.76190476190477,
3, 75.0,
4, 68.25396825396825,
5, 75.0,
6, 78.96825396825396,
7, 75.39682539682539,
8, 74.60317460317461,
9, 73.01587301587301,
10, 73.80952380952381,
11, 72.61904761904762,
12, 75.0,
13, 78.57142857142857,
14, 75.0,
15, 76.19047619047619,
16, 74.60317460317461,
17, 76.98412698412699,
18, 78.96825396825396,
19, 76.19047619047619,
20, 74.60317460317461,
21, 79.36507936507937,
22, 74.60317460317461,
23, 78.96825396825396,
24, 76.98412698412699,
25, 80.95238095238095,
26, 75.0,
27, 75.79365079365078,
28, 76.19047619047619,
29, 71.82539682539682,
30, 76.19047619047619,
31, 73.80952380952381,
32, 76.5873015873016,
33, 75.79365079365078,
34, 78.17460317460318,
35, 75.39682539682539,
36, 73.01587301587301,
37, 73.4126984126984,
38, 78.57142857142857,
39, 77.38095238095238,
40, 80.95238095238095,
41, 76.98412698412699,
42, 75.79365079365078,
43, 73.4126984126984,
44, 75.39682539682539,
45, 76.5873015873016,
46, 75.39682539682539,
47, 77.38095238095238,
48, 74.60317460317461,
49, 74.60317460317461,
