playerID,B_G,B_AB,B_R,B_H,B_2B,B_3B,B_HR,B_RBI,B_SB,B_CS,B_BB,B_SO,B_IBB,B_HBP,B_SH,B_SF,B_GIDP,P_playerID,P_W,P_L,P_G,P_GS,P_CG,P_SHO,P_SV,P_IPOuts,P_H,P_ER,P_HR,P_BB,P_SO,P_BAOpp,P_ERA,P_IBB,P_WP,P_HBP,P_BK,P_BFP,P_GF,P_R,P_SH,P_SF,P_GIDP,f_playerID,f_G,f_PO,f_A,f_E,f_DP,f_PB,f_WP,f_SB,f_CS,f_ZR,award_count,nomination_count,Classification
billija01,476.0,559.0,21.0,62.0,8.0,0.0,0.0,23.0,0.0,0.0,27,206.0,0.0,0.0,69.0,1.0,10.0,billija01,145.0,113.0,476.0,305.0,74.0,27.0,15.0,6692,2272.0,949.0,176,750.0,1141.0,0.27785714285714286,4.517857228006635,97.0,84.0,98.0,4.0,9487.0,83.0,1069.0,0.0,0.0,0.0,billija01,476.0,133.0,344.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
baylodo01,2292.0,8198.0,1236.0,2135.0,366.0,28.0,338.0,1276.0,285.0,120.0,805,1069.0,91.0,267.0,16.0,115.0,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,baylodo01,970.0,2716.0,110.0,58.0,80.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0
barrji01,481.0,513.0,28.0,83.0,15.0,2.0,1.0,31.0,2.0,0.0,15,129.0,0.0,4.0,68.0,1.0,4.0,barrji01,101.0,112.0,454.0,252.0,64.0,20.0,12.0,6196,2170.0,816.0,161,469.0,741.0,0.2708333333333333,3.6883333126703897,74.0,22.0,30.0,14.0,8612.0,74.0,908.0,0.0,0.0,0.0,barrji01,454.0,148.0,388.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
bellbu01,2405.0,8995.0,1151.0,2514.0,425.0,56.0,201.0,1106.0,55.0,79.0,836,776.0,84.0,38.0,60.0,80.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bellbu01,2373.0,2196.0,5009.0,262.0,448.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0
bibbyji01,341.0,209.0,15.0,31.0,6.0,0.0,5.0,17.0,0.0,0.0,13,88.0,0.0,3.0,24.0,1.0,1.0,bibbyji01,111.0,101.0,340.0,239.0,56.0,19.0,8.0,5168,1565.0,719.0,131,723.0,1079.0,0.24500000000000002,4.2228571346827914,38.0,70.0,40.0,13.0,7310.0,39.0,800.0,0.0,0.0,0.0,bibbyji01,340.0,88.0,216.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
bedrost01,732.0,153.0,3.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,3,58.0,0.0,0.0,12.0,0.0,0.0,bedrost01,76.0,79.0,732.0,46.0,0.0,0.0,184.0,3573,1026.0,447.0,114,518.0,921.0,0.22333333333333336,3.478666663169861,75.0,33.0,27.0,4.0,5044.0,439.0,496.0,0.0,0.0,0.0,bedrost01,732.0,64.0,122.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0
bellge02,1587.0,6123.0,814.0,1702.0,308.0,34.0,265.0,1002.0,67.0,36.0,331,771.0,53.0,49.0,0.0,83.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bellge02,1236.0,2294.0,84.0,88.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0
bellja01,2063.0,7398.0,1123.0,1963.0,394.0,67.0,195.0,860.0,91.0,60.0,853,1443.0,25.0,57.0,159.0,58.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bellja01,2006.0,3202.0,5609.0,220.0,1120.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0
bicheda01,1704.0,6381.0,934.0,1906.0,401.0,27.0,274.0,1141.0,152.0,73.0,355,1078.0,32.0,41.0,5.0,73.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bicheda01,1553.0,2828.0,128.0,80.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
biggicr01,2850.0,10876.0,1844.0,3060.0,668.0,55.0,291.0,1175.0,414.0,124.0,1160,1753.0,68.0,285.0,101.0,81.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,biggicr01,2780.0,7156.0,5671.0,201.0,1174.0,32.0,100.0,434.0,130.0,2.0,17.0,3.0,1
belleal01,1539.0,5853.0,974.0,1726.0,389.0,21.0,381.0,1239.0,88.0,41.0,683,961.0,91.0,55.0,4.0,78.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,belleal01,1311.0,2644.0,90.0,66.0,18.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0
beckro01,704.0,19.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0,10.0,0.0,0.0,1.0,0.0,0.0,beckro01,38.0,45.0,704.0,0.0,0.0,0.0,286.0,2304,703.0,282.0,97,191.0,644.0,0.18350000000000002,3.5457142846924916,33.0,23.0,20.0,3.0,3170.0,519.0,308.0,6.0,4.0,10.0,beckro01,704.0,39.0,96.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
benitar01,762.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,benitar01,40.0,47.0,762.0,0.0,0.0,0.0,289.0,2337,545.0,271.0,95,403.0,946.0,0.18033333333333335,3.3699999716546802,32.0,18.0,16.0,5.0,3253.0,527.0,296.0,17.0,12.0,29.0,benitar01,762.0,31.0,40.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
bondto01,488.0,1975.0,213.0,471.0,53.0,11.0,0.0,174.0,5.0,1.0,22,63.0,0.0,0.0,0.0,0.0,0.0,bondto01,234.0,163.0,417.0,408.0,386.0,42.0,0.0,10886,3767.0,932.0,51,198.0,879.0,0.16454545454545455,2.9563636671413076,0.0,80.0,2.0,0.0,10599.0,10.0,1931.0,0.0,0.0,0.0,bondto01,520.0,336.0,928.0,138.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
broutda01,1673.0,6711.0,1523.0,2296.0,460.0,205.0,106.0,1296.0,256.0,0.0,840,238.0,0.0,105.0,2.0,0.0,0.0,broutda01,0.0,2.0,4.0,2.0,2.0,0.0,0.0,69,44.0,20.0,0,11.0,8.0,0.49,18.53500008583069,0.0,4.0,0.0,0.0,127.0,1.0,37.0,0.0,0.0,0.0,broutda01,1674.0,16422.0,667.0,531.0,891.0,0.0,0.0,0.0,0.0,0.0,,2.0,1
breitte01,447.0,1347.0,174.0,291.0,27.0,15.0,4.0,126.0,30.0,0.0,150,102.0,0.0,6.0,23.0,0.0,0.0,breitte01,160.0,170.0,379.0,341.0,300.0,12.0,3.0,8893,3091.0,1330.0,79,1203.0,889.0,0.24363636363636365,4.06000000780279,0.0,39.0,43.0,2.0,0.0,34.0,1845.0,0.0,0.0,0.0,breitte01,444.0,328.0,697.0,68.0,25.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
bresnro01,1446.0,4481.0,682.0,1252.0,218.0,71.0,26.0,530.0,212.0,3.0,714,99.0,0.0,67.0,112.0,0.0,0.0,bresnro01,4.0,1.0,9.0,6.0,3.0,1.0,0.0,151,68.0,22.0,1,15.0,15.0,0.35333333333333333,3.3166666825612388,0.0,0.0,3.0,0.0,16.0,3.0,30.0,0.0,0.0,0.0,bresnro01,1375.0,5138.0,1416.0,241.0,138.0,129.0,0.0,0.0,0.0,0.0,5.0,7.0,1
bradlbi01,1461.0,5430.0,754.0,1471.0,275.0,84.0,33.0,552.0,181.0,0.0,290,18.0,0.0,73.0,253.0,0.0,0.0,bradlbi01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,4.0,0.0,0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,bradlbi01,1447.0,1985.0,3062.0,355.0,197.0,0.0,0.0,0.0,0.0,0.0,,6.0,0
bodiepi01,1050.0,3670.0,393.0,1011.0,169.0,72.0,43.0,516.0,83.0,26.0,312,240.0,0.0,18.0,160.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bodiepi01,1012.0,1933.0,179.0,80.0,38.0,0.0,0.0,0.0,0.0,0.0,,2.0,0
bluelu01,1615.0,5904.0,1151.0,1696.0,319.0,109.0,44.0,695.0,151.0,85.0,1092,436.0,0.0,43.0,168.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bluelu01,1572.0,15647.0,1017.0,193.0,1187.0,0.0,0.0,0.0,0.0,0.0,,1.0,0
bladera01,767.0,2415.0,467.0,726.0,133.0,51.0,50.0,340.0,33.0,22.0,331,310.0,0.0,47.0,53.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bladera01,648.0,1339.0,90.0,59.0,13.0,0.0,0.0,0.0,0.0,0.0,,2.0,0
bluegos01,1867.0,6440.0,883.0,1751.0,276.0,67.0,43.0,848.0,140.0,87.0,723,515.0,0.0,71.0,218.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bluegos01,1816.0,2278.0,3926.0,250.0,448.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0
bottoji01,1991.0,7471.0,1177.0,2313.0,465.0,151.0,219.0,1422.0,58.0,15.0,664,591.0,0.0,43.0,177.0,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bottoji01,1886.0,18337.0,815.0,223.0,1562.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,1
bishoma01,1338.0,4494.0,966.0,1216.0,236.0,35.0,41.0,379.0,43.0,50.0,1153,452.0,0.0,31.0,98.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,bishoma01,1258.0,2923.0,3863.0,164.0,651.0,0.0,0.0,0.0,0.0,0.0,,4.0,0
